,REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,ILI AGE 0-4,ILI AGE 25-49,ILI AGE 25-64,ILI AGE 5-24,ILI AGE 50-64,ILI AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
820,Census Regions,Mid-Atlantic,2019,27,1.16984,1.04569,777,436,629,717,193,219,2342,330,223968,1202,3,0,0.249584,0.249584,0.0
821,Census Regions,East North Central,2019,27,0.697099,0.646305,126,113,176,127,63,63,492,225,76125,1399,16,3,1.358109,1.14367,0.214439
822,Census Regions,West North Central,2019,27,0.547814,0.560237,83,34,50,88,16,23,244,148,43553,673,4,1,0.742942,0.594354,0.148588
823,Census Regions,South Atlantic,2019,27,0.61022,0.749476,625,539,720,669,181,152,2166,468,289002,2164,62,57,5.49907,2.86506,2.63401
824,Census Regions,East South Central,2019,27,0.664755,0.772221,116,119,164,146,45,23,449,174,58144,506,2,2,0.790514,0.395257,0.395257
825,Census Regions,West South Central,2019,27,1.56582,1.59554,285,207,291,313,84,64,953,188,59729,899,6,6,1.334816,0.667408,0.667408
826,Census Regions,Mountain,2019,27,0.841873,0.955108,187,208,300,256,92,101,844,243,88367,755,18,5,3.0463620000000002,2.38411,0.662252
827,Census Regions,Pacific,2019,27,0.922026,0.826402,122,136,208,217,72,75,622,193,75266,828,10,12,2.6570099999999996,1.20773,1.44928
828,Census Regions,New England,2019,28,0.408034,0.572877,100,87,137,126,50,53,416,140,72616,458,3,0,0.655022,0.655022,0.0
829,Census Regions,Mid-Atlantic,2019,28,1.24398,0.93737,679,475,656,639,181,205,2179,324,232459,1256,5,0,0.398089,0.398089,0.0
830,Census Regions,East North Central,2019,28,0.502297,0.545789,117,123,178,154,55,35,484,233,88679,1330,3,2,0.37594,0.225564,0.150376
831,Census Regions,West North Central,2019,28,0.537206,0.560966,81,34,54,87,20,28,250,148,44566,739,0,1,0.135318,0.0,0.135318
832,Census Regions,South Atlantic,2019,28,0.599685,0.69072,600,476,662,676,186,146,2084,457,301714,2201,58,54,5.0886,2.63517,2.45343
833,Census Regions,East South Central,2019,28,0.558711,0.698662,125,109,151,148,42,27,451,179,64552,537,6,2,1.489759,1.11732,0.372439
834,Census Regions,West South Central,2019,28,1.42206,1.57261,343,228,318,349,90,50,1060,167,67404,929,8,2,1.076426,0.861141,0.215285
835,Census Regions,Mountain,2019,28,0.838925,0.863368,182,221,320,288,99,104,894,246,103548,761,6,2,1.051248,0.788436,0.262812
836,Census Regions,Pacific,2019,28,0.807306,0.730112,117,129,205,193,76,89,604,196,82727,864,13,18,3.58796,1.50463,2.08333
837,Census Regions,New England,2019,29,0.448593,0.57038,103,81,134,124,53,37,398,137,69778,396,2,0,0.505051,0.505051,0.0
838,Census Regions,Mid-Atlantic,2019,29,1.09791,0.885411,667,409,582,615,173,167,2031,333,229385,1195,8,1,0.7531380000000001,0.669456,0.083682
839,Census Regions,East North Central,2019,29,0.528976,0.539828,114,118,171,144,53,46,475,222,87991,1293,12,3,1.160093,0.928074,0.232019
840,Census Regions,West North Central,2019,29,0.483307,0.562662,81,48,72,101,24,24,278,148,49408,714,5,0,0.70028,0.70028,0.0
841,Census Regions,South Atlantic,2019,29,0.558572,0.659909,540,473,637,629,164,160,1966,464,297920,2091,51,60,5.30846,2.43902,2.86944
842,Census Regions,East South Central,2019,29,0.590733,0.751003,132,119,156,150,37,32,470,178,62583,288,2,2,1.388888,0.694444,0.694444
843,Census Regions,West South Central,2019,29,1.23704,1.42683,306,274,362,327,88,61,1056,208,74010,887,14,3,1.916569,1.57835,0.338219
844,Census Regions,Mountain,2019,29,0.789576,0.874413,183,220,316,286,96,109,894,246,102240,707,4,1,0.707214,0.565771,0.141443
845,Census Regions,Pacific,2019,29,0.780383,0.665123,93,119,188,194,69,68,543,196,81639,768,7,10,2.213538,0.911458,1.30208
846,Census Regions,New England,2019,30,0.345966,0.52133,89,91,123,118,32,36,366,137,70205,379,4,0,1.05541,1.05541,0.0
847,Census Regions,Mid-Atlantic,2019,30,0.868599,0.828774,581,368,527,608,159,144,1860,323,224428,1068,6,0,0.561798,0.561798,0.0
848,Census Regions,East North Central,2019,30,0.483952,0.523279,110,94,147,119,53,63,439,231,83894,1201,4,1,0.4163199,0.333056,0.0832639
849,Census Regions,West North Central,2019,30,0.613449,0.571207,75,46,70,115,24,20,280,146,49019,639,4,0,0.625978,0.625978,0.0
850,Census Regions,South Atlantic,2019,30,0.563751,0.660783,541,499,699,607,200,132,1979,468,299493,2092,53,68,5.783939999999999,2.53346,3.25048
851,Census Regions,East South Central,2019,30,0.631932,0.775104,139,99,146,155,47,29,469,179,60508,335,2,1,0.8955219999999999,0.597015,0.298507
852,Census Regions,West South Central,2019,30,1.39166,1.50386,324,269,367,283,98,67,1041,199,69222,863,13,4,1.969869,1.50637,0.463499
853,Census Regions,Mountain,2019,30,0.607103,0.76966,169,193,282,252,89,55,758,241,98485,678,11,4,2.212391,1.62242,0.589971
854,Census Regions,Pacific,2019,30,0.800781,0.692889,100,141,200,194,59,69,563,193,81254,696,7,7,2.0115,1.00575,1.00575
855,Census Regions,New England,2019,31,0.356161,0.499282,92,87,117,108,30,34,351,139,70301,330,5,0,1.51515,1.51515,0.0
856,Census Regions,Mid-Atlantic,2019,31,1.07022,0.900075,739,404,555,575,151,143,2012,326,223537,1094,3,1,0.3656307,0.274223,0.0914077
857,Census Regions,East North Central,2019,31,0.45573,0.484226,95,87,129,119,42,51,394,232,81367,1197,11,0,0.918964,0.918964,0.0
858,Census Regions,West North Central,2019,31,0.607138,0.599724,90,58,78,104,20,24,296,147,49356,636,2,1,0.471698,0.314465,0.157233
859,Census Regions,South Atlantic,2019,31,0.565654,0.663814,558,513,674,607,161,119,1958,463,294962,1899,58,60,6.2138,3.05424,3.15956
860,Census Regions,East South Central,2019,31,0.662409,0.817777,167,111,161,153,50,32,513,183,62731,466,3,3,1.287554,0.643777,0.643777
861,Census Regions,West South Central,2019,31,1.23653,1.44507,327,253,327,319,74,62,1035,201,71623,864,10,7,1.9675950000000002,1.15741,0.810185
862,Census Regions,Mountain,2019,31,0.60321,0.746334,174,195,275,247,80,72,768,242,102903,629,5,2,1.112878,0.794913,0.317965
863,Census Regions,Pacific,2019,31,0.721277,0.672089,106,121,171,204,50,66,547,195,81388,766,7,11,2.349868,0.913838,1.43603
864,Census Regions,New England,2019,32,0.404319,0.545338,81,88,117,133,29,42,373,137,68398,354,0,2,0.564972,0.0,0.564972
865,Census Regions,Mid-Atlantic,2019,32,1.09558,0.908416,487,524,721,531,197,242,1981,324,218072,1136,4,1,0.4401412,0.352113,0.0880282
866,Census Regions,East North Central,2019,32,0.484066,0.491017,99,104,148,105,44,44,396,223,80649,1341,2,0,0.149142,0.149142,0.0
867,Census Regions,West North Central,2019,32,0.561723,0.558038,78,42,67,106,25,20,271,148,48563,657,1,0,0.152207,0.152207,0.0
868,Census Regions,South Atlantic,2019,32,0.534568,0.645052,567,520,676,569,156,128,1940,470,300751,2094,58,66,5.92168,2.76982,3.15186
869,Census Regions,East South Central,2019,32,0.700447,0.790157,138,116,164,153,48,35,490,181,62013,395,2,6,2.025319,0.506329,1.51899
870,Census Regions,West South Central,2019,32,1.1124,1.44959,361,258,359,304,101,60,1084,202,74780,840,2,4,0.7142850000000001,0.238095,0.47619
871,Census Regions,Mountain,2019,32,0.887906,0.855795,181,236,349,283,113,123,936,269,109372,625,3,0,0.48,0.48,0.0
872,Census Regions,Pacific,2019,32,0.83675,0.698715,97,153,206,200,53,64,567,192,81149,638,7,8,2.3510999999999997,1.09718,1.25392
873,Census Regions,New England,2019,33,0.435879,0.475582,78,76,110,100,34,32,320,135,67286,388,1,2,0.773196,0.257732,0.515464
874,Census Regions,Mid-Atlantic,2019,33,1.02963,0.931666,674,494,684,573,190,191,2122,360,227764,1170,5,1,0.5128201,0.42735,0.0854701
875,Census Regions,East North Central,2019,33,0.454004,0.46196,97,82,134,114,52,39,384,229,83124,1224,1,1,0.1633986,0.0816993,0.0816993
876,Census Regions,West North Central,2019,33,0.576544,0.537271,85,43,78,97,35,18,278,145,51743,671,2,1,0.447094,0.298063,0.149031
877,Census Regions,South Atlantic,2019,33,0.628256,0.81455,805,578,763,848,185,123,2539,475,311706,2079,46,65,5.3391,2.2126,3.1265
878,Census Regions,East South Central,2019,33,0.79751,0.987738,173,154,205,234,51,26,638,178,64592,477,1,11,2.515724,0.209644,2.30608
879,Census Regions,West South Central,2019,33,0.945326,1.41156,384,248,321,332,73,62,1099,198,77857,886,3,5,0.902934,0.3386,0.564334
880,Census Regions,Mountain,2019,33,1.0124,0.984286,218,244,374,351,130,145,1088,269,110537,668,10,2,1.796411,1.49701,0.299401
881,Census Regions,Pacific,2019,33,0.678134,0.633669,116,128,166,179,38,58,519,189,81904,747,9,7,2.141902,1.20482,0.937082
882,Census Regions,New England,2019,34,0.529895,0.567183,87,98,132,134,34,34,387,137,68232,349,0,1,0.286533,0.0,0.286533
883,Census Regions,Mid-Atlantic,2019,34,1.14303,0.880514,626,406,576,549,170,177,1928,322,218963,1071,10,1,1.0270777,0.933707,0.0933707
884,Census Regions,East North Central,2019,34,0.413123,0.427945,77,91,121,109,30,47,354,226,82721,1288,8,1,0.6987578,0.621118,0.0776398
885,Census Regions,West North Central,2019,34,0.641704,0.690658,104,45,65,132,20,22,323,145,46767,721,4,0,0.554785,0.554785,0.0
886,Census Regions,South Atlantic,2019,34,0.786088,0.96272,955,664,850,1040,186,133,2978,474,309332,2392,61,74,5.64382,2.55017,3.09365
887,Census Regions,East South Central,2019,34,0.921557,1.27608,238,203,246,352,43,33,869,184,68099,606,0,27,4.45545,0.0,4.45545
888,Census Regions,West South Central,2019,34,1.31192,1.87176,491,309,410,526,101,77,1504,202,80352,1014,2,11,1.282049,0.197239,1.08481
889,Census Regions,Mountain,2019,34,1.04462,1.06997,221,273,382,459,109,141,1203,264,112433,750,4,0,0.533333,0.533333,0.0
890,Census Regions,Pacific,2019,34,0.718264,0.648554,108,121,190,200,69,52,550,193,84804,701,5,1,0.85592,0.713267,0.142653
891,Census Regions,New England,2019,35,0.500663,0.55423,91,88,130,137,42,30,388,135,70007,405,3,0,0.740741,0.740741,0.0
892,Census Regions,Mid-Atlantic,2019,35,1.08982,0.91452,637,435,634,601,199,160,2032,353,222193,1166,9,2,0.9433969999999999,0.77187,0.171527
893,Census Regions,East North Central,2019,35,0.556864,0.547481,113,112,160,173,48,32,478,226,87309,1451,9,3,0.827016,0.620262,0.206754
894,Census Regions,West North Central,2019,35,0.63608,0.717515,120,63,84,158,21,30,392,147,54633,875,4,1,0.571429,0.457143,0.114286
895,Census Regions,South Atlantic,2019,35,0.892567,1.03132,1013,763,968,1119,205,156,3256,483,315712,3035,90,159,8.20428,2.9654,5.23888
896,Census Regions,East South Central,2019,35,1.10287,1.47185,299,230,290,375,60,50,1014,179,68893,745,0,41,5.50336,0.0,5.50336
897,Census Regions,West South Central,2019,35,1.82222,2.48963,689,384,508,720,124,64,1981,189,79570,1213,6,7,1.071723,0.494641,0.577082
898,Census Regions,Mountain,2019,35,1.28296,1.39805,314,303,432,632,129,173,1551,266,110940,736,7,3,1.3586960000000001,0.951087,0.407609
899,Census Regions,Pacific,2019,35,0.880803,0.843288,118,161,227,305,66,75,725,191,85973,880,14,5,2.1590920000000002,1.59091,0.568182
900,Census Regions,New England,2019,36,0.809818,0.681859,91,116,162,170,46,33,456,138,66876,463,6,0,1.2959,1.2959,0.0
901,Census Regions,Mid-Atlantic,2019,36,1.17428,0.95696,668,542,754,686,212,193,2301,356,240449,1249,11,0,0.880705,0.880705,0.0
902,Census Regions,East North Central,2019,36,0.775723,0.785685,159,160,222,228,62,47,656,230,83494,1738,17,1,1.0356734,0.978136,0.0575374
903,Census Regions,West North Central,2019,36,0.75226,0.807591,104,75,98,166,23,32,400,148,49530,904,1,0,0.110619,0.110619,0.0
904,Census Regions,South Atlantic,2019,36,1.09437,1.17873,1245,731,974,1265,243,171,3655,484,310079,3275,77,158,7.17558,2.35115,4.82443
905,Census Regions,East South Central,2019,36,1.3665,1.68707,323,299,387,398,88,47,1155,179,68462,818,0,49,5.99022,0.0,5.99022
906,Census Regions,West South Central,2019,36,1.91725,2.63958,740,452,582,716,130,99,2137,192,80960,1515,12,10,1.452145,0.792079,0.660066
907,Census Regions,Mountain,2019,36,1.47008,1.54862,357,382,541,615,159,160,1673,268,108032,1006,6,3,0.894632,0.596421,0.298211
908,Census Regions,Pacific,2019,36,0.92427,0.87498,114,167,234,291,67,86,725,194,82859,848,6,9,1.7688670000000002,0.707547,1.06132
909,Census Regions,New England,2019,37,1.07275,0.752811,84,119,181,254,62,34,553,137,73458,722,10,0,1.38504,1.38504,0.0
910,Census Regions,Mid-Atlantic,2019,37,1.45021,1.16897,833,623,855,936,232,217,2841,357,243034,1537,13,1,0.9108658000000001,0.845804,0.0650618
911,Census Regions,East North Central,2019,37,0.91274,0.992683,213,211,275,401,64,58,947,229,95398,2320,43,3,1.98276,1.85345,0.12931
912,Census Regions,West North Central,2019,37,0.933302,0.862811,115,92,123,231,31,32,501,151,58066,1086,2,0,0.184162,0.184162,0.0
913,Census Regions,South Atlantic,2019,37,1.11524,1.22671,1158,951,1249,1485,298,188,4080,497,332596,3217,56,128,5.71961,1.74075,3.97886
914,Census Regions,East South Central,2019,37,1.20047,1.61337,304,280,360,380,80,60,1104,179,68428,864,5,32,4.282404,0.578704,3.7037
915,Census Regions,West South Central,2019,37,2.03301,2.53395,745,480,626,759,146,98,2228,210,87926,1602,5,12,1.0611739999999998,0.31211,0.749064
916,Census Regions,Mountain,2019,37,1.34325,1.50953,315,380,568,674,188,179,1736,266,115003,955,7,1,0.837696,0.732984,0.104712
917,Census Regions,Pacific,2019,37,0.998599,0.94845,138,160,231,379,71,93,841,195,88671,1063,11,3,1.31703,1.03481,0.28222
918,Census Regions,New England,2019,38,0.953149,0.820437,137,139,206,236,67,45,624,138,76057,826,10,2,1.452781,1.21065,0.242131
919,Census Regions,Mid-Atlantic,2019,38,1.48538,1.43205,1132,723,969,1124,246,243,3468,361,242170,1825,13,2,0.821918,0.712329,0.109589
920,Census Regions,East North Central,2019,38,0.875401,0.916363,191,196,287,395,91,56,929,228,101379,2792,29,6,1.2535800000000001,1.03868,0.2149
921,Census Regions,West North Central,2019,38,1.15837,1.03586,144,83,115,192,32,34,485,143,46821,1155,4,2,0.51948,0.34632,0.17316
922,Census Regions,South Atlantic,2019,38,1.17203,1.37623,1318,1073,1390,1626,317,212,4546,493,330322,3614,78,190,7.4155999999999995,2.15827,5.25733
923,Census Regions,East South Central,2019,38,1.26229,1.56584,324,217,293,413,76,47,1077,180,68781,901,0,19,2.10877,0.0,2.10877
924,Census Regions,West South Central,2019,38,1.87835,2.65358,711,485,643,720,158,107,2181,194,82191,1653,12,20,1.935873,0.725953,1.20992
925,Census Regions,Mountain,2019,38,1.43169,1.55079,346,452,642,598,190,193,1779,265,114716,1034,5,2,0.676983,0.483559,0.193424
926,Census Regions,Pacific,2019,38,1.0074,1.03617,160,199,271,369,72,88,888,196,85700,1255,11,10,1.6733069999999999,0.876494,0.796813
927,Census Regions,New England,2019,39,1.044,0.916995,138,175,243,271,68,62,714,140,77863,1091,6,1,0.6416130000000001,0.549954,0.091659
928,Census Regions,Mid-Atlantic,2019,39,1.59764,1.48394,1139,780,1055,1176,275,288,3658,363,246506,2026,11,2,0.6416587,0.542942,0.0987167
929,Census Regions,East North Central,2019,39,0.932146,1.03423,199,203,302,373,99,61,935,218,90405,3117,23,7,0.962464,0.737889,0.224575
930,Census Regions,West North Central,2019,39,1.3603,1.09652,191,96,143,251,47,32,617,149,56269,1296,2,2,0.308642,0.154321,0.154321
931,Census Regions,South Atlantic,2019,39,1.19786,1.5201,1496,1204,1589,1722,385,257,5064,495,333136,4100,73,247,7.804880000000001,1.78049,6.02439
932,Census Regions,East South Central,2019,39,1.47589,1.75391,362,255,333,477,78,50,1222,179,69673,971,2,24,2.6776530000000003,0.205973,2.47168
933,Census Regions,West South Central,2019,39,2.06848,2.90669,925,546,719,899,173,107,2650,216,91169,1776,9,33,2.364867,0.506757,1.85811
934,Census Regions,Mountain,2019,39,1.44787,1.51746,359,429,594,592,165,165,1710,245,112688,1243,7,1,0.6436045,0.563154,0.0804505
935,Census Regions,Pacific,2019,39,1.06999,0.986339,161,187,262,343,75,78,844,175,85569,1729,20,6,1.5037610000000001,1.15674,0.347021
936,Census Regions,New England,2019,40,0.892224,0.969336,247,324,498,404,174,112,1261,254,130089,1071,3,1,0.37348270000000006,0.280112,0.0933707
937,Census Regions,Mid-Atlantic,2019,40,1.78979,1.40929,1035,757,1045,1086,288,314,3480,384,246932,1924,7,0,0.363825,0.363825,0.0
938,Census Regions,East North Central,2019,40,0.953876,1.1228,504,331,463,646,132,118,1731,369,154168,3550,12,7,0.535211,0.338028,0.197183
939,Census Regions,West North Central,2019,40,1.22187,1.11919,203,125,171,313,46,26,713,194,63707,1511,2,3,0.330907,0.132363,0.198544
940,Census Regions,South Atlantic,2019,40,1.58528,1.53934,1825,1377,1831,2060,454,343,6059,581,393611,3092,32,27,1.908151,1.03493,0.873221
941,Census Regions,East South Central,2019,40,1.66454,1.76177,665,496,627,764,131,90,2146,264,121809,979,3,14,1.736465,0.306435,1.43003
942,Census Regions,West South Central,2019,40,2.23511,3.17554,1065,617,818,1173,201,123,3179,257,100109,2446,23,46,2.820931,0.940311,1.88062
943,Census Regions,Mountain,2019,40,1.38095,1.515,405,418,572,634,154,153,1764,293,116436,1520,13,3,1.0526309999999999,0.855263,0.197368
944,Census Regions,Pacific,2019,40,1.29745,1.21593,269,382,566,578,184,169,1582,300,130106,3758,41,23,1.703038,1.09101,0.612028
945,Census Regions,New England,2019,41,1.00194,1.12109,274,396,574,441,178,176,1465,260,130676,1192,8,2,0.838926,0.671141,0.167785
946,Census Regions,Mid-Atlantic,2019,41,1.75772,1.44341,1085,758,1099,1025,341,293,3502,384,242620,2166,7,5,0.5540160000000001,0.323176,0.23084
947,Census Regions,East North Central,2019,41,1.14002,1.32398,573,385,561,669,176,145,1948,374,147132,3794,13,5,0.474433,0.342646,0.131787
948,Census Regions,West North Central,2019,41,1.22843,1.19988,240,111,160,322,49,48,770,199,64173,1778,8,1,0.506187,0.449944,0.056243
949,Census Regions,South Atlantic,2019,41,1.59479,1.61537,1894,1488,2001,1978,513,394,6267,587,387961,3292,33,49,2.49089,1.00243,1.48846
950,Census Regions,East South Central,2019,41,1.61221,1.73415,621,467,604,677,137,95,1997,262,115157,1018,4,15,1.866407,0.392927,1.47348
951,Census Regions,West South Central,2019,41,2.62245,3.43336,1133,671,877,1228,206,135,3373,256,98242,3016,17,73,2.98408,0.56366,2.42042
952,Census Regions,Mountain,2019,41,1.40414,1.53995,415,463,645,649,182,165,1874,298,121692,1541,14,12,1.687216,0.908501,0.778715
953,Census Regions,Pacific,2019,41,1.46281,1.36735,315,408,641,649,233,152,1757,304,128497,4316,42,19,1.413345,0.973123,0.440222
954,Census Regions,New England,2019,42,1.10858,1.23027,313,436,615,501,179,163,1592,264,129402,1170,5,0,0.42735,0.42735,0.0
955,Census Regions,Mid-Atlantic,2019,42,2.04429,1.64939,1327,796,1175,1127,379,325,3954,385,239725,2348,7,4,0.468484,0.298126,0.170358
956,Census Regions,East North Central,2019,42,1.15815,1.4092,679,398,577,739,179,136,2131,374,151221,4029,11,8,0.47158100000000003,0.273021,0.19856
957,Census Regions,West North Central,2019,42,1.32251,1.33185,276,154,206,382,52,44,908,198,68176,1963,2,6,0.40754,0.101885,0.305655
958,Census Regions,South Atlantic,2019,42,1.73905,1.72791,1971,1527,2039,2032,512,418,6460,590,373861,3518,46,26,2.046616,1.30756,0.739056
959,Census Regions,East South Central,2019,42,1.81833,1.90913,692,532,689,734,157,96,2211,269,115812,1091,3,8,1.0082490000000002,0.274977,0.733272
960,Census Regions,West South Central,2019,42,2.71955,3.70868,1124,778,1005,1355,227,133,3617,259,97528,3036,26,95,3.9855099999999997,0.85639,3.12912
961,Census Regions,Mountain,2019,42,1.55101,1.69282,551,493,710,671,217,177,2109,302,124585,1726,15,13,1.622248,0.869061,0.753187
962,Census Regions,Pacific,2019,42,1.56916,1.4469,340,434,642,736,208,157,1875,309,129587,4250,57,27,1.976474,1.34118,0.635294
963,Census Regions,New England,2019,43,1.08702,1.17995,318,400,587,513,187,153,1571,261,133141,1315,9,3,0.912548,0.684411,0.228137
964,Census Regions,Mid-Atlantic,2019,43,1.82836,1.64619,1290,866,1239,1243,373,346,4118,390,250154,2404,19,7,1.0815299999999999,0.790349,0.291181
965,Census Regions,East North Central,2019,43,1.24582,1.48098,745,494,719,793,225,148,2405,388,162393,4710,19,18,0.785563,0.403397,0.382166
966,Census Regions,West North Central,2019,43,1.43764,1.37436,276,136,187,400,51,54,917,199,66722,2008,4,12,0.796813,0.199203,0.59761
967,Census Regions,South Atlantic,2019,43,1.84907,1.91029,2234,1752,2392,2365,640,408,7399,598,387323,3884,51,67,3.03811,1.31308,1.72503
968,Census Regions,East South Central,2019,43,2.09995,2.18815,795,609,791,891,182,143,2620,271,119736,1168,1,18,1.6267163999999998,0.0856164,1.5411
969,Census Regions,West South Central,2019,43,3.26723,4.28576,1297,895,1113,1666,218,154,4230,262,98699,3440,33,169,5.872092,0.959302,4.91279
970,Census Regions,Mountain,2019,43,1.66957,1.81052,545,524,746,745,222,223,2259,301,124771,1468,25,11,2.452319,1.703,0.749319
971,Census Regions,Pacific,2019,43,1.60405,1.45259,392,404,611,733,207,164,1900,310,130801,4233,40,49,2.102526,0.944956,1.15757
972,Census Regions,New England,2019,44,1.13812,1.23994,333,389,576,570,187,164,1643,270,132506,1280,4,2,0.46875,0.3125,0.15625
973,Census Regions,Mid-Atlantic,2019,44,1.96971,1.77799,1512,834,1189,1291,355,343,4335,386,243814,2549,24,8,1.255395,0.941546,0.313849
974,Census Regions,East North Central,2019,44,1.30449,1.50853,725,493,686,834,193,144,2389,388,158366,4761,16,18,0.714136,0.336064,0.378072
975,Census Regions,West North Central,2019,44,1.51942,1.4236,284,136,190,372,54,46,892,198,62658,2040,5,15,0.980392,0.245098,0.735294
976,Census Regions,South Atlantic,2019,44,2.15067,2.00592,2429,1669,2269,2558,600,414,7670,596,382369,3945,46,73,3.01647,1.16603,1.85044
977,Census Regions,East South Central,2019,44,2.29874,2.38799,860,633,814,1014,181,124,2812,274,117756,1189,5,20,2.102611,0.420521,1.68209
978,Census Regions,West South Central,2019,44,3.84193,5.2107,1522,1071,1366,2020,295,189,5097,264,97818,3526,42,322,10.323310000000001,1.19115,9.13216
979,Census Regions,Mountain,2019,44,1.76202,1.85661,549,501,724,703,223,172,2148,301,115695,1740,16,13,1.666666,0.91954,0.747126
980,Census Regions,Pacific,2019,44,1.74719,1.54793,444,417,608,706,191,166,1924,312,124295,4387,63,85,3.3735999999999997,1.43606,1.93754
981,Census Regions,New England,2019,45,1.29227,1.37738,390,456,618,662,162,140,1810,262,131409,1366,5,4,0.6588579999999999,0.366032,0.292826
982,Census Regions,Mid-Atlantic,2019,45,2.10414,2.0142,1832,894,1278,1480,384,341,4931,395,244812,2795,28,18,1.645797,1.00179,0.644007
983,Census Regions,East North Central,2019,45,1.37394,1.57106,801,498,708,879,210,155,2543,394,161865,5275,30,16,0.872038,0.56872,0.303318
984,Census Regions,West North Central,2019,45,1.48667,1.47187,299,156,210,403,54,54,966,195,65631,1682,9,42,3.032107,0.535077,2.49703
985,Census Regions,South Atlantic,2019,45,2.58979,2.29798,2878,1956,2594,2921,638,432,8825,603,384033,4535,64,123,4.12349,1.41125,2.71224
986,Census Regions,East South Central,2019,45,2.90489,3.06903,1128,856,1097,1375,241,153,3753,275,122286,1436,11,18,2.019497,0.766017,1.25348
987,Census Regions,West South Central,2019,45,4.83373,6.58695,1921,1369,1707,2941,338,190,6759,265,102612,4658,83,623,15.15668,1.78188,13.3748
988,Census Regions,Mountain,2019,45,2.252,2.19883,808,523,719,1030,196,207,2764,303,125703,1944,33,43,3.90946,1.69753,2.21193
989,Census Regions,Pacific,2019,45,2.00056,1.7894,500,474,704,860,230,171,2235,315,124902,5151,151,188,6.58125,2.93147,3.64978
990,Census Regions,New England,2019,46,1.38714,1.52182,463,470,667,681,197,136,1947,260,127939,1583,7,5,0.758054,0.442198,0.315856
991,Census Regions,Mid-Atlantic,2019,46,2.38134,2.14475,1910,943,1363,1504,420,348,5125,382,238956,2869,29,29,2.02162,1.01081,1.01081
992,Census Regions,East North Central,2019,46,1.4314,1.61573,810,528,734,796,206,176,2516,394,155719,5320,42,48,1.69173,0.789474,0.902256
993,Census Regions,West North Central,2019,46,1.85457,1.82751,392,161,226,454,65,54,1126,200,61614,1767,26,53,4.4708499999999995,1.47142,2.99943
994,Census Regions,South Atlantic,2019,46,2.79259,2.59078,3121,2150,2871,3196,721,477,9665,594,373053,5253,72,211,5.3873999999999995,1.37065,4.01675
995,Census Regions,East South Central,2019,46,3.35593,3.49128,1224,913,1226,1576,313,165,4191,275,120042,1526,34,30,4.19397,2.22805,1.96592
996,Census Regions,West South Central,2019,46,5.14118,7.51507,2149,1620,1994,3252,374,208,7603,256,101170,5351,108,764,16.29601,2.01831,14.2777
997,Census Regions,Mountain,2019,46,2.55126,2.56448,827,596,819,1238,223,211,3095,302,120687,2206,51,74,5.666370000000001,2.31188,3.35449
998,Census Regions,Pacific,2019,46,2.24432,1.9282,550,523,743,974,220,193,2460,313,127580,5564,166,375,9.723230000000001,2.98347,6.73976
999,Census Regions,New England,2019,47,1.49625,1.65193,537,515,742,744,227,153,2176,263,131725,1694,18,9,1.5938569999999999,1.06257,0.531287
1000,Census Regions,Mid-Atlantic,2019,47,2.38979,2.23303,1960,1072,1578,1713,506,353,5604,391,250960,3025,51,37,2.90909,1.68595,1.22314
1001,Census Regions,East North Central,2019,47,1.49789,1.73305,869,532,755,997,223,172,2793,393,161161,6057,96,112,3.43404,1.58494,1.8491
1002,Census Regions,West North Central,2019,47,1.84886,2.03405,450,151,203,548,52,51,1252,197,61552,2829,68,80,5.23153,2.40368,2.82785
1003,Census Regions,South Atlantic,2019,47,2.9239,2.80172,3222,2316,3098,3770,782,496,10586,590,377840,5750,168,377,9.478259999999999,2.92174,6.55652
1004,Census Regions,East South Central,2019,47,4.14382,4.3895,1459,1228,1572,2282,344,183,5496,263,125208,1831,54,80,7.31841,2.94921,4.3692
1005,Census Regions,West South Central,2019,47,6.50224,8.85588,2521,1993,2455,4287,462,294,9557,257,107917,6918,202,1298,21.68252,2.91992,18.7626
1006,Census Regions,Mountain,2019,47,2.66841,2.72783,952,671,927,1379,256,242,3500,304,128307,2486,76,116,7.72325,3.05712,4.66613
1007,Census Regions,Pacific,2019,47,2.40272,2.28968,744,660,907,1329,247,204,3184,313,139059,5907,170,472,10.86846,2.87794,7.99052
1008,Census Regions,New England,2019,48,1.79568,1.99358,621,497,713,700,216,191,2225,262,111608,1670,46,19,3.8922100000000004,2.75449,1.13772
1009,Census Regions,Mid-Atlantic,2019,48,2.84234,2.76452,2414,1107,1588,1765,481,391,6158,386,222751,3075,96,75,5.56097,3.12195,2.43902
1010,Census Regions,East North Central,2019,48,1.72686,2.03676,1110,493,695,904,202,160,2869,395,140861,6246,102,212,5.02722,1.63305,3.39417
1011,Census Regions,West North Central,2019,48,2.37441,2.89456,555,183,261,456,78,74,1346,195,46501,2720,74,110,6.764710000000001,2.72059,4.04412
1012,Census Regions,South Atlantic,2019,48,3.60721,3.36756,3939,2554,3450,3801,896,602,11792,590,350164,5848,222,462,11.69631,3.79617,7.90014
